session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"18000197D9971F1A","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 04:47:42.569","2025-09-08 05:22:00.946","34.31","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971F1A-080925044742-AITS25A1NB0140-Supakit.U"
"18000197D9971F25","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 06:02:02.151","2025-09-08 06:02:16.294","0.24","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971F25-080925060202-AITS25A1NB0140-Supakit.U"
"28000197D9972C93","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 06:02:28.399","2025-09-08 06:56:18.337","53.83","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D9972C93-080925060228-AITS25A1NB0140-Supakit.U"
"18000197D9971F2C","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-08 07:04:30.297","2025-09-08 10:00:20.493","175.84","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971F2C-080925070430-AITS25A1NB0140-Supakit.U"
"28000197D9972D1A","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-09 02:43:58.789","2025-09-09 03:35:46.330","51.79","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D9972D1A-090925024358-AITS25A1NB0140-Supakit.U"
"18000197D9971F7F","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-09 01:16:36.913","2025-09-09 05:10:47.401","234.17","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971F7F-090925011636-AITS25A1NB0140-Supakit.U"
"18000197D9971FAF","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-09 06:00:34.396","2025-09-09 10:02:53.963","242.33","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D9971FAF-090925060034-AITS25A1NB0140-Supakit.U"
"18000197D997204C","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-10 06:38:43.146","2025-09-10 10:03:06.580","204.39","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D997204C-100925063843-AITS25A1NB0140-Supakit.U"
"18000197D99720F2","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-11 02:12:19.519","2025-09-11 02:15:20.274","3.01","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-18000197D99720F2-110925021219-AITS25A1NB0140-Supakit.U"
"480001980D1A9AFC","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-11 03:14:51.427","2025-09-11 03:31:51.420","17","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9AFC-110925031451-AITS25A1NB0140-Supakit.U"
"480001980D1A9ACE","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-11 01:07:09.816","2025-09-11 05:18:01.819","250.87","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9ACE-110925010709-AITS25A1NB0140-Supakit.U"
"480001980D1A9B21","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-11 06:00:56.854","2025-09-11 07:18:18.031","77.35","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9B21-110925060056-AITS25A1NB0140-Supakit.U"
"28000197D9972EB8","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-11 07:22:05.671","2025-09-11 10:05:36.168","163.51","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D9972EB8-110925072205-AITS25A1NB0140-Supakit.U"
"28000197D9972F02","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-12 01:19:43.966","2025-09-12 02:19:28.350","59.74","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D9972F02-120925011943-AITS25A1NB0160-Tossapon.C"
"480001980D1A9BF0","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-12 02:19:34.172","2025-09-12 02:21:18.336","1.74","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-480001980D1A9BF0-120925021934-AITS25A1NB0160-Tossapon.C"
"28000197D9972F17","CAC-FPEFTXJTEMCEPRXTRE","Tossapon.C","AITS25A1NB0160","Grant","2025-09-12 03:05:35.133","2025-09-12 03:19:49.686","14.24","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-28000197D9972F17-120925030535-AITS25A1NB0160-Tossapon.C"
"280001994250D0C1","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-15 01:08:30.680","2025-09-15 05:35:59.958","267.49","TimeOut","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-280001994250D0C1-150925010830-AITS25A1NB0140-Supakit.U"
"4800019942510B19","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-15 07:32:09.980","2025-09-15 07:34:19.228","2.15","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-4800019942510B19-150925073209-AITS25A1NB0140-Supakit.U"
"280001994250D0E2","CAC-FPEFTXJTEMCEPRXTRE","Supakit.U","AITS25A1NB0140","Grant","2025-09-15 05:59:59.737","2025-09-15 10:01:16.462","241.28","Detachment","Dassault Systemes V5","R1132103523401","ConcurrentUser","1","STD","CAC-FPEFTXJTEMCEPRXTRE-Dassault Systemes V5-280001994250D0E2-150925055959-AITS25A1NB0140-Supakit.U"
