session,feature,username,hostname,start_action,start_datetime,end_datetime,duration_min,end_action,product,customer,license_type,count,level,hash_id
"28000197D997134F","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-29 01:23:52.742","2025-07-29 09:11:10.132","467.29","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D997134F-290725012352-AHT19ITNB0030-pathamalee.r"
"480001980D1A76D8","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-29 02:01:20.330","2025-07-29 10:18:01.365","496.68","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-480001980D1A76D8-290725020120-AITS25A1NB0260-thirada.s"
"480001980D1A7790","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-29 10:08:41.649","2025-07-29 10:26:20.651","17.65","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7790-290725100841-AHT19ITNB0030-pathamalee.r"
"28000197D99713F5","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-29 10:11:14.628","2025-07-29 11:18:51.172","67.61","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-28000197D99713F5-290725101114-AHT19ITNB0030-pathamalee.r"
"28000197D9971442","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-30 01:18:03.116","2025-07-30 02:09:00.513","50.96","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-28000197D9971442-300725011803-AITS25A1NB0260-thirada.s"
"18000197D997073E","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-30 04:25:22.341","2025-07-30 04:25:46.834","0.41","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-18000197D997073E-300725042522-AHT19ITNB0030-pathamalee.r"
"480001980D1A7840","CAC-MCE","pathamalee.r","AHT19ITNB0030","Grant","2025-07-30 04:25:24.434","2025-07-30 04:33:05.528","7.68","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7840-300725042524-AHT19ITNB0030-pathamalee.r"
"480001980D1A7843","CAC-MCE","yamonporn.t","AITS25A1NB0210","Grant","2025-07-30 04:28:51.185","2025-07-30 04:34:43.416","5.87","Detachment","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-MCE-Dassault Systemes V5-480001980D1A7843-300725042851-AITS25A1NB0210-yamonporn.t"
"18000197D997070C","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-30 01:51:47.682","2025-07-30 05:29:17.061","217.49","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D997070C-300725015147-AITS25A1NB0260-thirada.s"
"18000197D9970752","CAC","thirada.s","AITS25A1NB0260","Grant","2025-07-30 06:01:06.323","2025-07-30 06:52:03.788","50.96","TimeOut","Dassault Systemes V5","R1132103523417","ConcurrentUser","1","STD","CAC-Dassault Systemes V5-18000197D9970752-300725060106-AITS25A1NB0260-thirada.s"
